home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
MONMOUTH,NOTRE DAME,,43,0,TURNOVR by Zach Auguste,1,0,19
MONMOUTH,NOTRE DAME,"STEAL by Seaborn, Micah",41,0,,1,0,19
MONMOUTH,NOTRE DAME,"MISSED JUMPER by Tillman, Zac",29,0,REBOUND (DEF) by Zach Auguste,1,0,19
MONMOUTH,NOTRE DAME,,6,0,GOOD! LAYUP by Steve Vasturia [PNT],1,2,19
MONMOUTH,NOTRE DAME,,53,0,FOUL by Bonzie Colson (P1T1),1,2,18
MONMOUTH,NOTRE DAME,"GOOD! 3 PTR by Hornbeak, Je'lon",47,3,,1,2,18
MONMOUTH,NOTRE DAME,"ASSIST by Robinson, Justin",47,3,,1,2,18
MONMOUTH,NOTRE DAME,"REBOUND (DEF) by Robinson, Justin",25,3,MISSED 3 PTR by Demetrius Jackson,1,2,18
MONMOUTH,NOTRE DAME,"GOOD! 3 PTR by Seaborn, Micah",17,6,,1,2,18
MONMOUTH,NOTRE DAME,"ASSIST by Jones, Deon",17,6,,1,2,18
MONMOUTH,NOTRE DAME,,50,6,MISSED JUMPER by Zach Auguste,1,2,17
MONMOUTH,NOTRE DAME,,50,6,REBOUND (OFF) by (TEAM),1,2,17
MONMOUTH,NOTRE DAME,"FOUL by Hornbeak, Je'lon (P1T1)",48,6,,1,2,17
MONMOUTH,NOTRE DAME,"REBOUND (DEF) by Jones, Deon",35,6,MISSED JUMPER by Zach Auguste,1,2,17
MONMOUTH,NOTRE DAME,"MISSED LAYUP by Jones, Deon",29,6,REBOUND (DEF) by Zach Auguste,1,2,17
MONMOUTH,NOTRE DAME,,18,6,MISSED 3 PTR by V.J. Beachem,1,2,17
MONMOUTH,NOTRE DAME,,18,6,REBOUND (OFF) by Zach Auguste,1,2,17
MONMOUTH,NOTRE DAME,"FOUL by Tillman, Zac (P1T2)",14,6,,1,2,17
MONMOUTH,NOTRE DAME,"SUB IN : Brady, Chris",14,6,,1,2,17
MONMOUTH,NOTRE DAME,"SUB OUT: Tillman, Zac",14,6,,1,2,17
MONMOUTH,NOTRE DAME,,4,6,GOOD! LAYUP by Steve Vasturia [PNT],1,4,17
MONMOUTH,NOTRE DAME,"TURNOVR by Seaborn, Micah",47,6,,1,4,16
MONMOUTH,NOTRE DAME,,46,6,STEAL by Bonzie Colson,1,4,16
MONMOUTH,NOTRE DAME,"REBOUND (DEF) by Hornbeak, Je'lon",41,6,MISSED 3 PTR by Steve Vasturia,1,4,16
MONMOUTH,NOTRE DAME,"TURNOVR by Hornbeak, Je'lon",32,6,,1,4,16
MONMOUTH,NOTRE DAME,,30,6,STEAL by V.J. Beachem,1,4,16
MONMOUTH,NOTRE DAME,,27,6,GOOD! DUNK by V.J. Beachem [PNT],1,6,16
MONMOUTH,NOTRE DAME,,27,6,ASSIST by Bonzie Colson,1,6,16
MONMOUTH,NOTRE DAME,,14,6,FOUL by Zach Auguste (P1T2),1,6,16
MONMOUTH,NOTRE DAME,"MISSED JUMPER by Robinson, Justin",4,6,REBOUND (DEF) by Zach Auguste,1,6,16
MONMOUTH,NOTRE DAME,,47,6,TURNOVR by V.J. Beachem,1,6,15
MONMOUTH,NOTRE DAME,"STEAL by Jones, Deon",45,6,,1,6,15
MONMOUTH,NOTRE DAME,"GOOD! LAYUP by Hornbeak, Je'lon [PNT]",40,8,,1,6,15
MONMOUTH,NOTRE DAME,"REBOUND (DEF) by Brady, Chris",22,8,MISSED JUMPER by Bonzie Colson,1,6,15
MONMOUTH,NOTRE DAME,"GOOD! FT SHOT by Robinson, Justin",15,9,FOUL by Demetrius Jackson (P1T3),1,6,15
MONMOUTH,NOTRE DAME,"GOOD! FT SHOT by Robinson, Justin",15,10,,1,6,15
MONMOUTH,NOTRE DAME,"SUB IN : James, Josh",15,10,,1,6,15
MONMOUTH,NOTRE DAME,"SUB OUT: Hornbeak, Je'lon",15,10,,1,6,15
MONMOUTH,NOTRE DAME,,58,10,GOOD! 3 PTR by V.J. Beachem,1,9,14
MONMOUTH,NOTRE DAME,,58,10,ASSIST by Demetrius Jackson,1,9,14
MONMOUTH,NOTRE DAME,"MISSED 3 PTR by Seaborn, Micah",50,10,REBOUND (DEF) by V.J. Beachem,1,9,14
MONMOUTH,NOTRE DAME,,18,10,GOOD! LAYUP by Zach Auguste [PNT],1,11,14
MONMOUTH,NOTRE DAME,,18,10,ASSIST by Demetrius Jackson,1,11,14
MONMOUTH,NOTRE DAME,"MISSED JUMPER by Robinson, Justin",11,10,REBOUND (DEF) by (TEAM),1,11,14
MONMOUTH,NOTRE DAME,"FOUL by Brady, Chris (P1T3)",9,10,,1,11,14
MONMOUTH,NOTRE DAME,"SUB IN : Stewart, Collin",9,10,,1,11,14
MONMOUTH,NOTRE DAME,"SUB OUT: Jones, Deon",9,10,,1,11,14
MONMOUTH,NOTRE DAME,,51,10,TURNOVR by Zach Auguste,1,11,13
MONMOUTH,NOTRE DAME,,51,10,SUB IN : Matt Farrell,1,11,13
MONMOUTH,NOTRE DAME,,51,10,SUB OUT: Bonzie Colson,1,11,13
MONMOUTH,NOTRE DAME,"GOOD! JUMPER by Brady, Chris [PNT]",35,12,,1,11,13
MONMOUTH,NOTRE DAME,"ASSIST by Seaborn, Micah",35,12,,1,11,13
MONMOUTH,NOTRE DAME,"REBOUND (DEF) by James, Josh",12,12,MISSED 3 PTR by Matt Ryan,1,11,13
MONMOUTH,NOTRE DAME,"MISSED JUMPER by Seaborn, Micah",1,12,,1,11,13
MONMOUTH,NOTRE DAME,"REBOUND (OFF) by Seaborn, Micah",1,12,,1,11,13
MONMOUTH,NOTRE DAME,"GOOD! LAYUP by Seaborn, Micah [PNT]",58,14,,1,11,12
MONMOUTH,NOTRE DAME,"REBOUND (DEF) by Robinson, Justin",39,14,MISSED JUMPER by Demetrius Jackson,1,11,12
MONMOUTH,NOTRE DAME,"MISSED LAYUP by Robinson, Justin",31,14,REBOUND (DEF) by Demetrius Jackson,1,11,12
MONMOUTH,NOTRE DAME,,26,14,TURNOVR by Demetrius Jackson,1,11,12
MONMOUTH,NOTRE DAME,"STEAL by James, Josh",25,14,,1,11,12
MONMOUTH,NOTRE DAME,"TURNOVR by Stewart, Collin",18,14,,1,11,12
MONMOUTH,NOTRE DAME,,17,14,STEAL by Steve Vasturia,1,11,12
MONMOUTH,NOTRE DAME,,7,14,GOOD! 3 PTR by Steve Vasturia,1,14,12
MONMOUTH,NOTRE DAME,,7,14,ASSIST by Matt Ryan,1,14,12
MONMOUTH,NOTRE DAME,"GOOD! 3 PTR by Stewart, Collin",42,17,,1,14,11
MONMOUTH,NOTRE DAME,"ASSIST by Robinson, Justin",42,17,,1,14,11
MONMOUTH,NOTRE DAME,,10,17,GOOD! LAYUP by Demetrius Jackson [PNT],1,16,11
MONMOUTH,NOTRE DAME,"TURNOVR by Robinson, Justin",3,17,,1,16,11
MONMOUTH,NOTRE DAME,,1,17,STEAL by Demetrius Jackson,1,16,11
MONMOUTH,NOTRE DAME,,30,17,GOOD! 3 PTR by Demetrius Jackson,1,19,10
MONMOUTH,NOTRE DAME,"FOUL by Seaborn, Micah (P1T4)",30,17,,1,19,10
MONMOUTH,NOTRE DAME,,30,17,TIMEOUT media,1,19,10
MONMOUTH,NOTRE DAME,"REBOUND (DEF) by Tilghman, Austin",30,17,MISSED FT SHOT by Demetrius Jackson,1,19,10
MONMOUTH,NOTRE DAME,"SUB IN : Tilghman, Austin",30,17,SUB IN : Matt Ryan,1,19,10
MONMOUTH,NOTRE DAME,"SUB IN : Quinn, Diago",30,17,SUB IN : Bonzie Colson,1,19,10
MONMOUTH,NOTRE DAME,"SUB IN : Hornbeak, Je'lon",30,17,SUB OUT: Steve Vasturia,1,19,10
MONMOUTH,NOTRE DAME,"SUB OUT: Seaborn, Micah",30,17,SUB OUT: Zach Auguste,1,19,10
MONMOUTH,NOTRE DAME,"SUB OUT: Robinson, Justin",30,17,,1,19,10
MONMOUTH,NOTRE DAME,"SUB OUT: Brady, Chris",30,17,,1,19,10
MONMOUTH,NOTRE DAME,,17,17,FOUL by V.J. Beachem (P1T4),1,19,10
MONMOUTH,NOTRE DAME,,17,17,SUB IN : Steve Vasturia,1,19,10
MONMOUTH,NOTRE DAME,,17,17,SUB OUT: Matt Ryan,1,19,10
MONMOUTH,NOTRE DAME,"MISSED 3 PTR by Hornbeak, Je'lon",11,17,,1,19,10
MONMOUTH,NOTRE DAME,"REBOUND (OFF) by Stewart, Collin",11,17,,1,19,10
MONMOUTH,NOTRE DAME,"MISSED JUMPER by Stewart, Collin",6,17,REBOUND (DEF) by Bonzie Colson,1,19,10
MONMOUTH,NOTRE DAME,"FOUL by James, Josh (P1T5)",58,17,,1,19,9
MONMOUTH,NOTRE DAME,,31,17,GOOD! 3 PTR by Steve Vasturia,1,22,9
MONMOUTH,NOTRE DAME,,31,17,ASSIST by V.J. Beachem,1,22,9
MONMOUTH,NOTRE DAME,"GOOD! FT SHOT by Quinn, Diago",3,18,FOUL by Steve Vasturia (P1T5),1,22,9
MONMOUTH,NOTRE DAME,"GOOD! FT SHOT by Quinn, Diago",3,19,,1,22,9
MONMOUTH,NOTRE DAME,,3,19,SUB IN : Zach Auguste,1,22,9
MONMOUTH,NOTRE DAME,,3,19,SUB OUT: Demetrius Jackson,1,22,9
MONMOUTH,NOTRE DAME,,47,19,MISSED LAYUP by Steve Vasturia,1,22,8
MONMOUTH,NOTRE DAME,,47,19,REBOUND (OFF) by (TEAM),1,22,8
MONMOUTH,NOTRE DAME,"REBOUND (DEF) by James, Josh",35,19,MISSED 3 PTR by Bonzie Colson,1,22,8
MONMOUTH,NOTRE DAME,"MISSED LAYUP by James, Josh",20,19,REBOUND (DEF) by Bonzie Colson,1,22,8
MONMOUTH,NOTRE DAME,,12,19,TURNOVR by Steve Vasturia,1,22,8
MONMOUTH,NOTRE DAME,"STEAL by Tilghman, Austin",11,19,,1,22,8
MONMOUTH,NOTRE DAME,"GOOD! LAYUP by Hornbeak, Je'lon [FB/PNT]",9,21,,1,22,8
MONMOUTH,NOTRE DAME,,48,21,GOOD! 3 PTR by V.J. Beachem,1,25,7
MONMOUTH,NOTRE DAME,,48,21,ASSIST by Zach Auguste,1,25,7
MONMOUTH,NOTRE DAME,,38,21,FOUL by Matt Farrell (P1T6),1,25,7
MONMOUTH,NOTRE DAME,TIMEOUT MEDIA,38,21,,1,25,7
MONMOUTH,NOTRE DAME,,38,21,SUB IN : Demetrius Jackson,1,25,7
MONMOUTH,NOTRE DAME,,38,21,SUB OUT: Matt Farrell,1,25,7
MONMOUTH,NOTRE DAME,"MISSED JUMPER by Hornbeak, Je'lon",33,21,REBOUND (DEF) by Bonzie Colson,1,25,7
MONMOUTH,NOTRE DAME,,11,21,GOOD! 3 PTR by V.J. Beachem,1,28,7
MONMOUTH,NOTRE DAME,,11,21,ASSIST by Demetrius Jackson,1,28,7
MONMOUTH,NOTRE DAME,"MISSED JUMPER by Stewart, Collin",52,21,REBOUND (DEF) by Zach Auguste,1,28,6
MONMOUTH,NOTRE DAME,"REBOUND (DEF) by James, Josh",24,21,MISSED 3 PTR by V.J. Beachem,1,28,6
MONMOUTH,NOTRE DAME,"GOOD! 3 PTR by Stewart, Collin",16,24,,1,28,6
MONMOUTH,NOTRE DAME,"ASSIST by James, Josh",16,24,,1,28,6
MONMOUTH,NOTRE DAME,,51,24,GOOD! JUMPER by Demetrius Jackson,1,30,5
MONMOUTH,NOTRE DAME,"MISSED FT SHOT by Tilghman, Austin",39,24,FOUL by Zach Auguste (P2T7),1,30,5
MONMOUTH,NOTRE DAME,REBOUND (OFF) by (DEADBALL),39,24,,1,30,5
MONMOUTH,NOTRE DAME,"MISSED FT SHOT by Tilghman, Austin",39,24,,1,30,5
MONMOUTH,NOTRE DAME,"REBOUND (OFF) by Jones, Deon",39,24,,1,30,5
MONMOUTH,NOTRE DAME,"SUB IN : Seaborn, Micah",39,24,SUB IN : Matt Farrell,1,30,5
MONMOUTH,NOTRE DAME,"SUB IN : Tillman, Zac",39,24,SUB OUT: Zach Auguste,1,30,5
MONMOUTH,NOTRE DAME,"SUB IN : Jones, Deon",39,24,,1,30,5
MONMOUTH,NOTRE DAME,"SUB OUT: James, Josh",39,24,,1,30,5
MONMOUTH,NOTRE DAME,"SUB OUT: Quinn, Diago",39,24,,1,30,5
MONMOUTH,NOTRE DAME,"SUB OUT: Hornbeak, Je'lon",39,24,,1,30,5
MONMOUTH,NOTRE DAME,"MISSED FT SHOT by Stewart, Collin",33,24,FOUL by Steve Vasturia (P2T8),1,30,5
MONMOUTH,NOTRE DAME,,33,24,REBOUND (DEF) by Bonzie Colson,1,30,5
MONMOUTH,NOTRE DAME,"SUB IN : Robinson, Justin",33,24,SUB IN : Matt Ryan,1,30,5
MONMOUTH,NOTRE DAME,"SUB OUT: Tilghman, Austin",33,24,SUB OUT: Steve Vasturia,1,30,5
MONMOUTH,NOTRE DAME,,11,24,TURNOVR by Bonzie Colson,1,30,5
MONMOUTH,NOTRE DAME,"STEAL by Stewart, Collin",9,24,,1,30,5
MONMOUTH,NOTRE DAME,"GOOD! FT SHOT by Seaborn, Micah",8,25,FOUL by Demetrius Jackson (P2T9),1,30,5
MONMOUTH,NOTRE DAME,"GOOD! FT SHOT by Seaborn, Micah",8,26,,1,30,5
MONMOUTH,NOTRE DAME,"FOUL by Stewart, Collin (P1T6)",45,26,GOOD! FT SHOT by Bonzie Colson,1,31,4
MONMOUTH,NOTRE DAME,,45,26,GOOD! FT SHOT by Bonzie Colson,1,32,4
MONMOUTH,NOTRE DAME,"MISSED JUMPER by Jones, Deon",23,26,REBOUND (DEF) by Bonzie Colson,1,32,4
MONMOUTH,NOTRE DAME,"REBOUND (DEF) by Jones, Deon",3,26,MISSED JUMPER by Bonzie Colson,1,32,4
MONMOUTH,NOTRE DAME,"MISSED LAYUP by Tillman, Zac",49,26,REBOUND (DEF) by Bonzie Colson,1,32,3
MONMOUTH,NOTRE DAME,"FOUL by Tillman, Zac (P2T7)",39,26,,1,32,3
MONMOUTH,NOTRE DAME,,39,26,TIMEOUT MEDIA,1,32,3
MONMOUTH,NOTRE DAME,,39,26,MISSED FT SHOT by Bonzie Colson,1,32,3
MONMOUTH,NOTRE DAME,,39,26,REBOUND (OFF) by (DEADBALL),1,32,3
MONMOUTH,NOTRE DAME,,39,26,GOOD! FT SHOT by Bonzie Colson,1,33,3
MONMOUTH,NOTRE DAME,"SUB IN : Brady, Chris",39,26,,1,33,3
MONMOUTH,NOTRE DAME,"SUB OUT: Tillman, Zac",39,26,,1,33,3
MONMOUTH,NOTRE DAME,"MISSED JUMPER by Robinson, Justin",31,26,BLOCK by Bonzie Colson,1,33,3
MONMOUTH,NOTRE DAME,"REBOUND (OFF) by Stewart, Collin",29,26,,1,33,3
MONMOUTH,NOTRE DAME,"FOUL by Stewart, Collin (P2T8)",26,26,,1,33,3
