home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
NOTRE DAME,PITTSBURGH,,45,0,GOOD! LAYUP by Michael Young [PNT],1,2,19
NOTRE DAME,PITTSBURGH,FOUL by Bonzie Colson (P1T1),45,0,GOOD! FT SHOT by Michael Young,1,3,19
NOTRE DAME,PITTSBURGH,MISSED LAYUP by Zach Auguste,23,0,REBOUND (DEF) by Michael Young,1,3,19
NOTRE DAME,PITTSBURGH,,8,0,GOOD! LAYUP by Michael Young [PNT],1,5,19
NOTRE DAME,PITTSBURGH,MISSED 3 PTR by Steve Vasturia,42,0,REBOUND (DEF) by Jamel Artis,1,5,18
NOTRE DAME,PITTSBURGH,,28,0,GOOD! 3 PTR by Jamel Artis,1,8,18
NOTRE DAME,PITTSBURGH,,28,0,ASSIST by Michael Young,1,8,18
NOTRE DAME,PITTSBURGH,MISSED 3 PTR by Demetrius Jackson,1,0,REBOUND (DEF) by Rafael Maia,1,8,18
NOTRE DAME,PITTSBURGH,,52,0,GOOD! JUMPER by Michael Young [PNT],1,10,17
NOTRE DAME,PITTSBURGH,TIMEOUT 30sec,50,0,,1,10,17
NOTRE DAME,PITTSBURGH,SUB IN : Matt Ryan,50,0,,1,10,17
NOTRE DAME,PITTSBURGH,SUB OUT: Bonzie Colson,50,0,,1,10,17
NOTRE DAME,PITTSBURGH,MISSED JUMPER by Zach Auguste,28,0,REBOUND (DEF) by Michael Young,1,10,17
NOTRE DAME,PITTSBURGH,,13,0,GOOD! 3 PTR by Sterling Smith,1,13,17
NOTRE DAME,PITTSBURGH,,13,0,ASSIST by Jamel Artis,1,13,17
NOTRE DAME,PITTSBURGH,GOOD! JUMPER by Steve Vasturia [PNT],48,2,,1,13,16
NOTRE DAME,PITTSBURGH,,32,2,GOOD! JUMPER by Michael Young,1,15,16
NOTRE DAME,PITTSBURGH,,32,2,ASSIST by James Robinson,1,15,16
NOTRE DAME,PITTSBURGH,GOOD! LAYUP by Demetrius Jackson [PNT],9,4,,1,15,16
NOTRE DAME,PITTSBURGH,REBOUND (DEF) by Zach Auguste,41,4,MISSED JUMPER by James Robinson,1,15,15
NOTRE DAME,PITTSBURGH,GOOD! LAYUP by Steve Vasturia [PNT],14,6,,1,15,15
NOTRE DAME,PITTSBURGH,,2,6,GOOD! 3 PTR by Jamel Artis,1,18,15
NOTRE DAME,PITTSBURGH,,2,6,ASSIST by Michael Young,1,18,15
NOTRE DAME,PITTSBURGH,GOOD! DUNK by Zach Auguste [PNT],34,8,,1,18,14
NOTRE DAME,PITTSBURGH,ASSIST by Demetrius Jackson,34,8,,1,18,14
NOTRE DAME,PITTSBURGH,,11,8,GOOD! JUMPER by Michael Young [PNT],1,20,14
NOTRE DAME,PITTSBURGH,FOUL by Steve Vasturia (P1T2),11,8,,1,20,14
NOTRE DAME,PITTSBURGH,,11,8,TIMEOUT MEDIA,1,20,14
NOTRE DAME,PITTSBURGH,,11,8,GOOD! FT SHOT by Michael Young,1,21,14
NOTRE DAME,PITTSBURGH,SUB IN : Bonzie Colson,11,8,SUB IN : Alonzo Nelson-Ododa,1,21,14
NOTRE DAME,PITTSBURGH,SUB OUT: Zach Auguste,11,8,SUB IN : Chris Jones,1,21,14
NOTRE DAME,PITTSBURGH,,11,8,SUB OUT: Rafael Maia,1,21,14
NOTRE DAME,PITTSBURGH,,11,8,SUB OUT: Sterling Smith,1,21,14
NOTRE DAME,PITTSBURGH,MISSED 3 PTR by Matt Ryan,56,8,REBOUND (DEF) by Jamel Artis,1,21,13
NOTRE DAME,PITTSBURGH,FOUL by Matt Ryan (P1T3),38,8,GOOD! FT SHOT by Michael Young,1,22,13
NOTRE DAME,PITTSBURGH,,38,8,GOOD! FT SHOT by Michael Young,1,23,13
NOTRE DAME,PITTSBURGH,SUB IN : Austin Torres,38,8,SUB IN : Damon Wilson,1,23,13
NOTRE DAME,PITTSBURGH,SUB OUT: V.J. Beachem,38,8,SUB OUT: James Robinson,1,23,13
NOTRE DAME,PITTSBURGH,GOOD! JUMPER by Bonzie Colson,16,10,,1,23,13
NOTRE DAME,PITTSBURGH,ASSIST by Matt Ryan,16,10,,1,23,13
NOTRE DAME,PITTSBURGH,REBOUND (DEF) by Austin Torres,49,10,MISSED JUMPER by Michael Young,1,23,12
NOTRE DAME,PITTSBURGH,,45,10,SUB IN : Sheldon Jeter,1,23,12
NOTRE DAME,PITTSBURGH,,45,10,SUB OUT: Michael Young,1,23,12
NOTRE DAME,PITTSBURGH,MISSED LAYUP by Steve Vasturia,29,10,BLOCK by Chris Jones,1,23,12
NOTRE DAME,PITTSBURGH,,26,10,REBOUND (DEF) by Alonzo Nelson-Ododa,1,23,12
NOTRE DAME,PITTSBURGH,,23,10,GOOD! LAYUP by Chris Jones [FB/PNT],1,25,12
NOTRE DAME,PITTSBURGH,,23,10,ASSIST by Damon Wilson,1,25,12
NOTRE DAME,PITTSBURGH,MISSED JUMPER by Bonzie Colson,12,10,REBOUND (DEF) by Alonzo Nelson-Ododa,1,25,12
NOTRE DAME,PITTSBURGH,,4,10,GOOD! 3 PTR by Chris Jones,1,28,12
NOTRE DAME,PITTSBURGH,,4,10,ASSIST by Jamel Artis,1,28,12
NOTRE DAME,PITTSBURGH,TIMEOUT 30sec,0,10,,1,28,12
NOTRE DAME,PITTSBURGH,SUB IN : Zach Auguste,0,10,,1,28,12
NOTRE DAME,PITTSBURGH,SUB IN : V.J. Beachem,0,10,,1,28,12
NOTRE DAME,PITTSBURGH,SUB OUT: Bonzie Colson,0,10,,1,28,12
NOTRE DAME,PITTSBURGH,SUB OUT: Matt Ryan,0,10,,1,28,12
NOTRE DAME,PITTSBURGH,GOOD! 3 PTR by Demetrius Jackson,31,13,,1,28,11
NOTRE DAME,PITTSBURGH,ASSIST by Steve Vasturia,31,13,,1,28,11
NOTRE DAME,PITTSBURGH,,7,13,MISSED 3 PTR by Jamel Artis,1,28,11
NOTRE DAME,PITTSBURGH,,7,13,REBOUND (OFF) by Alonzo Nelson-Ododa,1,28,11
NOTRE DAME,PITTSBURGH,,50,13,GOOD! JUMPER by Jamel Artis,1,30,10
NOTRE DAME,PITTSBURGH,,28,13,FOUL by Alonzo Nelson-Ododa (P1T1),1,30,10
NOTRE DAME,PITTSBURGH,SUB IN : Rex Pflueger,28,13,SUB IN : Cameron Johnson,1,30,10
NOTRE DAME,PITTSBURGH,SUB OUT: Steve Vasturia,28,13,SUB IN : Rafael Maia,1,30,10
NOTRE DAME,PITTSBURGH,,28,13,SUB OUT: Alonzo Nelson-Ododa,1,30,10
NOTRE DAME,PITTSBURGH,,28,13,SUB OUT: Jamel Artis,1,30,10
NOTRE DAME,PITTSBURGH,GOOD! 3 PTR by Demetrius Jackson,20,16,,1,30,10
NOTRE DAME,PITTSBURGH,ASSIST by V.J. Beachem,20,16,,1,30,10
NOTRE DAME,PITTSBURGH,,1,16,GOOD! 3 PTR by Damon Wilson,1,33,10
NOTRE DAME,PITTSBURGH,,1,16,ASSIST by Chris Jones,1,33,10
NOTRE DAME,PITTSBURGH,GOOD! 3 PTR by Demetrius Jackson,40,19,,1,33,9
NOTRE DAME,PITTSBURGH,,16,19,MISSED 3 PTR by Sheldon Jeter,1,33,9
NOTRE DAME,PITTSBURGH,,16,19,REBOUND (OFF) by Cameron Johnson,1,33,9
NOTRE DAME,PITTSBURGH,,12,19,TURNOVR by Cameron Johnson,1,33,9
NOTRE DAME,PITTSBURGH,STEAL by V.J. Beachem,10,19,,1,33,9
NOTRE DAME,PITTSBURGH,GOOD! 3 PTR by Demetrius Jackson,46,22,,1,33,8
NOTRE DAME,PITTSBURGH,,41,22,TIMEOUT 30sec,1,33,8
NOTRE DAME,PITTSBURGH,SUB IN : Bonzie Colson,41,22,SUB IN : Michael Young,1,33,8
NOTRE DAME,PITTSBURGH,SUB OUT: Demetrius Jackson,41,22,SUB IN : James Robinson,1,33,8
NOTRE DAME,PITTSBURGH,SUB OUT: Austin Torres,41,22,SUB OUT: Damon Wilson,1,33,8
NOTRE DAME,PITTSBURGH,,41,22,SUB OUT: Sheldon Jeter,1,33,8
NOTRE DAME,PITTSBURGH,,24,22,GOOD! LAYUP by Michael Young [PNT],1,35,8
NOTRE DAME,PITTSBURGH,GOOD! DUNK by Zach Auguste [PNT],8,24,,1,35,8
NOTRE DAME,PITTSBURGH,ASSIST by Demetrius Jackson,8,24,,1,35,8
NOTRE DAME,PITTSBURGH,,39,24,MISSED JUMPER by James Robinson,1,35,7
NOTRE DAME,PITTSBURGH,,39,24,REBOUND (OFF) by (TEAM),1,35,7
NOTRE DAME,PITTSBURGH,,37,24,TIMEOUT MEDIA,1,35,7
NOTRE DAME,PITTSBURGH,SUB IN : Steve Vasturia,37,24,SUB IN : Jamel Artis,1,35,7
NOTRE DAME,PITTSBURGH,SUB OUT: Rex Pflueger,37,24,SUB IN : Sterling Smith,1,35,7
NOTRE DAME,PITTSBURGH,,37,24,SUB OUT: Cameron Johnson,1,35,7
NOTRE DAME,PITTSBURGH,,37,24,SUB OUT: Chris Jones,1,35,7
NOTRE DAME,PITTSBURGH,,11,24,GOOD! JUMPER by Michael Young,1,37,7
NOTRE DAME,PITTSBURGH,,58,24,FOUL by Rafael Maia (P1T2),1,37,6
NOTRE DAME,PITTSBURGH,GOOD! DUNK by Zach Auguste [PNT],45,26,,1,37,6
NOTRE DAME,PITTSBURGH,,29,26,GOOD! LAYUP by Jamel Artis [PNT],1,39,6
NOTRE DAME,PITTSBURGH,GOOD! 3 PTR by V.J. Beachem,2,29,,1,39,6
NOTRE DAME,PITTSBURGH,ASSIST by Bonzie Colson,2,29,,1,39,6
NOTRE DAME,PITTSBURGH,REBOUND (DEF) by V.J. Beachem,42,29,MISSED JUMPER by Michael Young,1,39,5
NOTRE DAME,PITTSBURGH,MISSED 3 PTR by Demetrius Jackson,32,29,REBOUND (DEF) by Michael Young,1,39,5
NOTRE DAME,PITTSBURGH,REBOUND (DEF) by Steve Vasturia,23,29,MISSED JUMPER by James Robinson,1,39,5
NOTRE DAME,PITTSBURGH,,17,29,FOUL by Rafael Maia (P2T3),1,39,5
NOTRE DAME,PITTSBURGH,SUB IN : Matt Ryan,17,29,SUB IN : Alonzo Nelson-Ododa,1,39,5
NOTRE DAME,PITTSBURGH,SUB OUT: Bonzie Colson,17,29,SUB OUT: Rafael Maia,1,39,5
NOTRE DAME,PITTSBURGH,MISSED JUMPER by Steve Vasturia,7,29,REBOUND (DEF) by Sterling Smith,1,39,5
NOTRE DAME,PITTSBURGH,,1,29,TURNOVR by Sterling Smith,1,39,5
NOTRE DAME,PITTSBURGH,STEAL by V.J. Beachem,59,29,,1,39,4
NOTRE DAME,PITTSBURGH,GOOD! LAYUP by V.J. Beachem [FB/PNT],57,31,,1,39,4
NOTRE DAME,PITTSBURGH,,39,31,GOOD! 3 PTR by Jamel Artis,1,42,4
NOTRE DAME,PITTSBURGH,,39,31,ASSIST by James Robinson,1,42,4
NOTRE DAME,PITTSBURGH,MISSED 3 PTR by V.J. Beachem,9,31,REBOUND (DEF) by (TEAM),1,42,4
NOTRE DAME,PITTSBURGH,SUB IN : Rex Pflueger,6,31,,1,42,4
NOTRE DAME,PITTSBURGH,SUB OUT: Matt Ryan,6,31,,1,42,4
NOTRE DAME,PITTSBURGH,,52,31,TURNOVR by Alonzo Nelson-Ododa,1,42,3
NOTRE DAME,PITTSBURGH,TIMEOUT MEDIA,52,31,,1,42,3
NOTRE DAME,PITTSBURGH,SUB IN : Matt Ryan,52,31,SUB IN : Chris Jones,1,42,3
NOTRE DAME,PITTSBURGH,SUB OUT: Rex Pflueger,52,31,SUB OUT: Sterling Smith,1,42,3
NOTRE DAME,PITTSBURGH,MISSED LAYUP by Demetrius Jackson,41,31,,1,42,3
NOTRE DAME,PITTSBURGH,REBOUND (OFF) by Zach Auguste,41,31,,1,42,3
NOTRE DAME,PITTSBURGH,MISSED LAYUP by Zach Auguste,38,31,BLOCK by Alonzo Nelson-Ododa,1,42,3
NOTRE DAME,PITTSBURGH,,36,31,REBOUND (DEF) by (TEAM),1,42,3
NOTRE DAME,PITTSBURGH,,23,31,MISSED JUMPER by Jamel Artis,1,42,3
NOTRE DAME,PITTSBURGH,,23,31,REBOUND (OFF) by Michael Young,1,42,3
