home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
NOTRE DAME,ALABAMA,SUB IN :,0,0,,1,0,20
NOTRE DAME,ALABAMA,SUB IN :,0,0,,1,0,20
NOTRE DAME,ALABAMA,SUB IN :,0,0,,1,0,20
NOTRE DAME,ALABAMA,SUB IN :,0,0,,1,0,20
NOTRE DAME,ALABAMA,SUB IN :,0,0,,1,0,20
NOTRE DAME,ALABAMA,,25,0,"FOUL by Ingram, Dazon (P1T1)",1,0,19
NOTRE DAME,ALABAMA,GOOD! 3 PTR by Steve Vasturia,11,3,,1,0,19
NOTRE DAME,ALABAMA,ASSIST by Demetrius Jackson,11,3,,1,0,19
NOTRE DAME,ALABAMA,,43,3,"GOOD! 3 PTR by Edwards, Arthur",1,3,18
NOTRE DAME,ALABAMA,,43,3,"ASSIST by Taylor, Jimmie",1,3,18
NOTRE DAME,ALABAMA,GOOD! LAYUP by Zach Auguste [PNT],23,5,,1,3,18
NOTRE DAME,ALABAMA,,8,5,"GOOD! 3 PTR by Edwards, Arthur",1,6,18
NOTRE DAME,ALABAMA,,8,5,"ASSIST by Ingram, Dazon",1,6,18
NOTRE DAME,ALABAMA,MISSED JUMPER by Demetrius Jackson,48,5,"BLOCK by Taylor, Jimmie",1,6,17
NOTRE DAME,ALABAMA,REBOUND (OFF) by V.J. Beachem,46,5,,1,6,17
NOTRE DAME,ALABAMA,FOUL by V.J. Beachem (P1T1),44,5,,1,6,17
NOTRE DAME,ALABAMA,TURNOVR by V.J. Beachem,44,5,,1,6,17
NOTRE DAME,ALABAMA,FOUL by Zach Auguste (P1T2),28,5,"GOOD! FT SHOT by Taylor, Jimmie",1,7,17
NOTRE DAME,ALABAMA,REBOUND (DEF) by Zach Auguste,28,5,"MISSED FT SHOT by Taylor, Jimmie",1,7,17
NOTRE DAME,ALABAMA,MISSED JUMPER by Zach Auguste,10,5,"REBOUND (DEF) by Hale, Shannon",1,7,17
NOTRE DAME,ALABAMA,,55,5,"MISSED JUMPER by Obasohan, Retin",1,7,16
NOTRE DAME,ALABAMA,,55,5,"REBOUND (OFF) by Taylor, Jimmie",1,7,16
NOTRE DAME,ALABAMA,,35,5,"GOOD! JUMPER by Hale, Shannon",1,9,16
NOTRE DAME,ALABAMA,,20,5,"FOUL by Edwards, Arthur (P1T2)",1,9,16
NOTRE DAME,ALABAMA,MISSED LAYUP by Zach Auguste,14,5,REBOUND (DEF) by (TEAM),1,9,16
NOTRE DAME,ALABAMA,REBOUND (DEF) by Zach Auguste,53,5,"MISSED JUMPER by Hale, Shannon",1,9,15
NOTRE DAME,ALABAMA,TIMEOUT media,38,5,,1,9,15
NOTRE DAME,ALABAMA,SUB IN : Matt Ryan,38,5,,1,9,15
NOTRE DAME,ALABAMA,SUB OUT: Bonzie Colson,38,5,,1,9,15
NOTRE DAME,ALABAMA,MISSED LAYUP by Zach Auguste,24,5,"BLOCK by Taylor, Jimmie",1,9,15
NOTRE DAME,ALABAMA,,22,5,"REBOUND (DEF) by Taylor, Jimmie",1,9,15
NOTRE DAME,ALABAMA,,10,5,"MISSED LAYUP by Ingram, Dazon",1,9,15
NOTRE DAME,ALABAMA,,10,5,"REBOUND (OFF) by Taylor, Jimmie",1,9,15
NOTRE DAME,ALABAMA,,6,5,"GOOD! LAYUP by Taylor, Jimmie [PNT]",1,11,15
NOTRE DAME,ALABAMA,MISSED 3 PTR by Matt Ryan,15,5,"REBOUND (DEF) by Ingram, Dazon",1,11,14
NOTRE DAME,ALABAMA,,6,5,"MISSED LAYUP by Ingram, Dazon",1,11,14
NOTRE DAME,ALABAMA,,6,5,"REBOUND (OFF) by Taylor, Jimmie",1,11,14
NOTRE DAME,ALABAMA,,5,5,"GOOD! LAYUP by Hale, Shannon [PNT]",1,13,14
NOTRE DAME,ALABAMA,TURNOVR by (TEAM),0,5,,1,13,14
NOTRE DAME,ALABAMA,,58,5,"GOOD! 3 PTR by Hale, Shannon",1,16,13
NOTRE DAME,ALABAMA,TIMEOUT 30sec,58,5,,1,16,13
NOTRE DAME,ALABAMA,GOOD! 3 PTR by V.J. Beachem,40,8,,1,16,13
NOTRE DAME,ALABAMA,ASSIST by Steve Vasturia,40,8,,1,16,13
NOTRE DAME,ALABAMA,,9,8,"GOOD! 3 PTR by Edwards, Arthur",1,19,13
NOTRE DAME,ALABAMA,,9,8,"ASSIST by Obasohan, Retin",1,19,13
NOTRE DAME,ALABAMA,TURNOVR by Demetrius Jackson,0,8,,1,19,13
NOTRE DAME,ALABAMA,,59,8,"STEAL by Obasohan, Retin",1,19,12
NOTRE DAME,ALABAMA,BLOCK by Bonzie Colson,56,8,"MISSED LAYUP by Hale, Shannon",1,19,12
NOTRE DAME,ALABAMA,REBOUND (DEF) by Steve Vasturia,54,8,,1,19,12
NOTRE DAME,ALABAMA,TURNOVR by Steve Vasturia,51,8,,1,19,12
NOTRE DAME,ALABAMA,,50,8,"STEAL by Edwards, Arthur",1,19,12
NOTRE DAME,ALABAMA,,48,8,"GOOD! DUNK by Edwards, Arthur [PNT]",1,21,12
NOTRE DAME,ALABAMA,GOOD! FT SHOT by Steve Vasturia,31,9,"FOUL by Hall, Donta (P1T3)",1,21,12
NOTRE DAME,ALABAMA,GOOD! FT SHOT by Steve Vasturia,31,10,,1,21,12
NOTRE DAME,ALABAMA,,6,10,"GOOD! DUNK by Hall, Donta [PNT]",1,23,12
NOTRE DAME,ALABAMA,,6,10,"ASSIST by Ingram, Dazon",1,23,12
NOTRE DAME,ALABAMA,GOOD! 3 PTR by V.J. Beachem,58,13,,1,23,11
NOTRE DAME,ALABAMA,ASSIST by Matt Ryan,58,13,,1,23,11
