home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
NOTRE DAME,LOUISVILLE,,28,0,"GOOD! JUMPER by ONUAKU, Chinanu",1,2,19
NOTRE DAME,LOUISVILLE,,28,0,"ASSIST by LEWIS, Trey",1,2,19
NOTRE DAME,LOUISVILLE,MISSED JUMPER by V.J. Beachem,59,0,"REBOUND (DEF) by ONUAKU, Chinanu",1,2,18
NOTRE DAME,LOUISVILLE,,46,0,"GOOD! JUMPER by LEWIS, Trey [PNT]",1,4,18
NOTRE DAME,LOUISVILLE,GOOD! 3 PTR by Demetrius Jackson,17,3,,1,4,18
NOTRE DAME,LOUISVILLE,FOUL by V.J. Beachem (P1T1),3,3,"GOOD! FT SHOT by LEWIS, Trey",1,5,18
NOTRE DAME,LOUISVILLE,,3,3,"GOOD! FT SHOT by LEWIS, Trey",1,6,18
NOTRE DAME,LOUISVILLE,GOOD! LAYUP by Zach Auguste [PNT],42,5,,1,6,17
NOTRE DAME,LOUISVILLE,REBOUND (DEF) by Zach Auguste,31,5,"MISSED LAYUP by ONUAKU, Chinanu",1,6,17
NOTRE DAME,LOUISVILLE,GOOD! LAYUP by Bonzie Colson [PNT],18,7,,1,6,17
NOTRE DAME,LOUISVILLE,ASSIST by Demetrius Jackson,18,7,,1,6,17
NOTRE DAME,LOUISVILLE,,1,7,"GOOD! 3 PTR by LEE, Damion",1,9,17
NOTRE DAME,LOUISVILLE,,1,7,"ASSIST by SNIDER, Quentin",1,9,17
NOTRE DAME,LOUISVILLE,TURNOVR by Demetrius Jackson,25,7,,1,9,16
NOTRE DAME,LOUISVILLE,,24,7,"STEAL by LEE, Damion",1,9,16
NOTRE DAME,LOUISVILLE,,20,7,"MISSED 3 PTR by SNIDER, Quentin",1,9,16
NOTRE DAME,LOUISVILLE,,20,7,"REBOUND (OFF) by JOHNSON, Jaylen",1,9,16
NOTRE DAME,LOUISVILLE,REBOUND (DEF) by Zach Auguste,4,7,"MISSED JUMPER by JOHNSON, Jaylen",1,9,16
NOTRE DAME,LOUISVILLE,GOOD! JUMPER by Bonzie Colson [PNT],49,9,,1,9,15
NOTRE DAME,LOUISVILLE,,31,9,"GOOD! LAYUP by SNIDER, Quentin [PNT]",1,11,15
NOTRE DAME,LOUISVILLE,FOUL by Zach Auguste (P1T2),31,9,,1,11,15
NOTRE DAME,LOUISVILLE,,31,9,TIMEOUT MEDIA,1,11,15
NOTRE DAME,LOUISVILLE,,31,9,"GOOD! FT SHOT by SNIDER, Quentin",1,12,15
NOTRE DAME,LOUISVILLE,MISSED JUMPER by Zach Auguste,2,9,"BLOCK by ONUAKU, Chinanu",1,12,15
NOTRE DAME,LOUISVILLE,,0,9,REBOUND (DEF) by (TEAM),1,12,15
NOTRE DAME,LOUISVILLE,SUB IN : Rex Pflueger,0,9,,1,12,15
NOTRE DAME,LOUISVILLE,SUB OUT: Zach Auguste,0,9,,1,12,15
NOTRE DAME,LOUISVILLE,REBOUND (DEF) by (TEAM),45,9,"MISSED JUMPER by ONUAKU, Chinanu",1,12,14
