home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
INDIANA,NOTRE DAME,"MISSED JUMPER by Bryant, Thomas",37,0,BLOCK by Bonzie Colson,1,0,19
INDIANA,NOTRE DAME,"REBOUND (OFF) by Johnson, Robert",36,0,,1,0,19
INDIANA,NOTRE DAME,"GOOD! LAYUP by Johnson, Robert [PNT]",33,2,,1,0,19
INDIANA,NOTRE DAME,"REBOUND (DEF) by Williams, Troy",1,2,MISSED JUMPER by Zach Auguste,1,0,19
INDIANA,NOTRE DAME,"GOOD! 3 PTR by Johnson, Robert",51,5,,1,0,18
INDIANA,NOTRE DAME,"ASSIST by Blackmon, Jr., James",51,5,,1,0,18
INDIANA,NOTRE DAME,,32,5,GOOD! 3 PTR by V.J. Beachem,1,3,18
INDIANA,NOTRE DAME,,32,5,ASSIST by Demetrius Jackson,1,3,18
INDIANA,NOTRE DAME,"TURNOVR by Williams, Troy",10,5,,1,3,18
INDIANA,NOTRE DAME,,8,5,STEAL by V.J. Beachem,1,3,18
INDIANA,NOTRE DAME,,5,5,MISSED 3 PTR by Steve Vasturia,1,3,18
INDIANA,NOTRE DAME,,5,5,REBOUND (OFF) by V.J. Beachem,1,3,18
INDIANA,NOTRE DAME,"FOUL by Bryant, Thomas (P1T1)",2,5,,1,3,18
INDIANA,NOTRE DAME,,48,5,GOOD! LAYUP by Steve Vasturia [PNT],1,5,17
INDIANA,NOTRE DAME,"TURNOVR by Blackmon, Jr., James",31,5,,1,5,17
INDIANA,NOTRE DAME,"FOUL by Bryant, Thomas (P2T2)",14,5,,1,5,17
INDIANA,NOTRE DAME,"SUB IN : Bielfeldt, Max",14,5,,1,5,17
INDIANA,NOTRE DAME,"SUB OUT: Bryant, Thomas",14,5,,1,5,17
INDIANA,NOTRE DAME,,9,5,TURNOVR by V.J. Beachem,1,5,17
INDIANA,NOTRE DAME,"STEAL by Williams, Troy",8,5,,1,5,17
INDIANA,NOTRE DAME,"MISSED LAYUP by Williams, Troy",2,5,BLOCK by Zach Auguste,1,5,17
INDIANA,NOTRE DAME,,0,5,REBOUND (DEF) by Zach Auguste,1,5,17
INDIANA,NOTRE DAME,,42,5,GOOD! JUMPER by Bonzie Colson [PNT],1,7,16
INDIANA,NOTRE DAME,,42,5,ASSIST by Steve Vasturia,1,7,16
INDIANA,NOTRE DAME,"GOOD! 3 PTR by Blackmon, Jr., James",34,8,,1,7,16
INDIANA,NOTRE DAME,"BLOCK by Johnson, Robert",20,8,MISSED LAYUP by Zach Auguste,1,7,16
INDIANA,NOTRE DAME,,19,8,REBOUND (OFF) by (TEAM),1,7,16
INDIANA,NOTRE DAME,,8,8,GOOD! LAYUP by Zach Auguste [PNT],1,9,16
INDIANA,NOTRE DAME,,8,8,ASSIST by Bonzie Colson,1,9,16
INDIANA,NOTRE DAME,"GOOD! LAYUP by Bielfeldt, Max [PNT]",38,10,,1,9,15
INDIANA,NOTRE DAME,"ASSIST by Johnson, Robert",38,10,,1,9,15
INDIANA,NOTRE DAME,"REBOUND (DEF) by Blackmon, Jr., James",16,10,MISSED 3 PTR by Demetrius Jackson,1,9,15
INDIANA,NOTRE DAME,"MISSED JUMPER by Williams, Troy",2,10,REBOUND (DEF) by Bonzie Colson,1,9,15
INDIANA,NOTRE DAME,,38,10,GOOD! JUMPER by Bonzie Colson,1,11,14
INDIANA,NOTRE DAME,"FOUL by Bielfeldt, Max (P1T3)",38,10,,1,11,14
INDIANA,NOTRE DAME,,38,10,TIMEOUT media,1,11,14
INDIANA,NOTRE DAME,,38,10,MISSED FT SHOT by Bonzie Colson,1,11,14
INDIANA,NOTRE DAME,,38,10,REBOUND (OFF) by Bonzie Colson,1,11,14
INDIANA,NOTRE DAME,,31,10,TURNOVR by Demetrius Jackson,1,11,14
INDIANA,NOTRE DAME,"STEAL by Blackmon, Jr., James",30,10,,1,11,14
INDIANA,NOTRE DAME,"GOOD! DUNK by Johnson, Robert [FB/PNT]",28,12,,1,11,14
INDIANA,NOTRE DAME,"ASSIST by Williams, Troy",28,12,,1,11,14
INDIANA,NOTRE DAME,"FOUL by Blackmon, Jr., James (P1T4)",0,12,MISSED FT SHOT by Demetrius Jackson,1,11,14
INDIANA,NOTRE DAME,,0,12,REBOUND (OFF) by (DEADBALL),1,11,14
INDIANA,NOTRE DAME,,0,12,GOOD! FT SHOT by Demetrius Jackson,1,12,14
INDIANA,NOTRE DAME,"SUB IN : Hartman, Collin",0,12,SUB IN : Matt Farrell,1,12,14
INDIANA,NOTRE DAME,"SUB OUT: Williams, Troy",0,12,SUB IN : Matt Ryan,1,12,14
INDIANA,NOTRE DAME,,0,12,SUB OUT: V.J. Beachem,1,12,14
INDIANA,NOTRE DAME,,0,12,SUB OUT: Bonzie Colson,1,12,14
INDIANA,NOTRE DAME,"MISSED 3 PTR by Johnson, Robert",47,12,REBOUND (DEF) by Steve Vasturia,1,12,13
INDIANA,NOTRE DAME,,36,12,TURNOVR by Steve Vasturia,1,12,13
INDIANA,NOTRE DAME,"MISSED JUMPER by Bielfeldt, Max",24,12,BLOCK by Zach Auguste,1,12,13
INDIANA,NOTRE DAME,,21,12,REBOUND (DEF) by Zach Auguste,1,12,13
INDIANA,NOTRE DAME,,1,12,GOOD! JUMPER by Demetrius Jackson,1,14,13
INDIANA,NOTRE DAME,"TURNOVR by Ferrell, Kevin Yogi",50,12,,1,14,12
INDIANA,NOTRE DAME,"SUB IN : Zeisloft, Nick",50,12,SUB IN : V.J. Beachem,1,14,12
INDIANA,NOTRE DAME,"SUB OUT: Blackmon, Jr., James",50,12,SUB IN : Bonzie Colson,1,14,12
INDIANA,NOTRE DAME,,50,12,SUB OUT: Zach Auguste,1,14,12
INDIANA,NOTRE DAME,,50,12,SUB OUT: Steve Vasturia,1,14,12
INDIANA,NOTRE DAME,,30,12,GOOD! JUMPER by Bonzie Colson,1,16,12
INDIANA,NOTRE DAME,,30,12,ASSIST by Matt Farrell,1,16,12
INDIANA,NOTRE DAME,"MISSED 3 PTR by Zeisloft, Nick",9,12,REBOUND (DEF) by Bonzie Colson,1,16,12
INDIANA,NOTRE DAME,,49,12,GOOD! JUMPER by Bonzie Colson,1,18,11
INDIANA,NOTRE DAME,,49,12,ASSIST by Matt Farrell,1,18,11
INDIANA,NOTRE DAME,"MISSED 3 PTR by Hartman, Collin",36,12,REBOUND (DEF) by Bonzie Colson,1,18,11
INDIANA,NOTRE DAME,,15,12,GOOD! 3 PTR by Matt Ryan,1,21,11
INDIANA,NOTRE DAME,,15,12,ASSIST by Matt Farrell,1,21,11
INDIANA,NOTRE DAME,"MISSED JUMPER by Bielfeldt, Max",0,12,,1,21,11
INDIANA,NOTRE DAME,"REBOUND (OFF) by Hartman, Collin",0,12,,1,21,11
INDIANA,NOTRE DAME,"GOOD! JUMPER by Johnson, Robert [PNT]",56,14,,1,21,10
INDIANA,NOTRE DAME,"ASSIST by Hartman, Collin",56,14,,1,21,10
INDIANA,NOTRE DAME,"REBOUND (DEF) by Ferrell, Kevin Yogi",45,14,MISSED LAYUP by Demetrius Jackson,1,21,10
INDIANA,NOTRE DAME,"GOOD! 3 PTR by Ferrell, Kevin Yogi [FB]",39,17,,1,21,10
INDIANA,NOTRE DAME,,17,17,GOOD! LAYUP by Bonzie Colson [PNT],1,23,10
INDIANA,NOTRE DAME,,17,17,ASSIST by Matt Ryan,1,23,10
INDIANA,NOTRE DAME,"TURNOVR by Ferrell, Kevin Yogi",9,17,STEAL by Bonzie Colson,1,23,10
INDIANA,NOTRE DAME,,5,17,GOOD! LAYUP by V.J. Beachem [FB/PNT],1,25,10
INDIANA,NOTRE DAME,,5,17,ASSIST by Bonzie Colson,1,25,10
INDIANA,NOTRE DAME,TIMEOUT 30sec,2,17,,1,25,10
INDIANA,NOTRE DAME,TIMEOUT media,2,17,,1,25,10
INDIANA,NOTRE DAME,"SUB IN : Blackmon, Jr., James",2,17,SUB IN : Zach Auguste,1,25,10
INDIANA,NOTRE DAME,"SUB IN : Williams, Troy",2,17,SUB IN : Steve Vasturia,1,25,10
INDIANA,NOTRE DAME,"SUB IN : Anunoby, O.G.",2,17,SUB OUT: Matt Farrell,1,25,10
INDIANA,NOTRE DAME,"SUB OUT: Johnson, Robert",2,17,SUB OUT: Bonzie Colson,1,25,10
INDIANA,NOTRE DAME,"SUB OUT: Zeisloft, Nick",2,17,,1,25,10
INDIANA,NOTRE DAME,"SUB OUT: Bielfeldt, Max",2,17,,1,25,10
INDIANA,NOTRE DAME,"MISSED LAYUP by Williams, Troy",48,17,BLOCK by Zach Auguste,1,25,9
INDIANA,NOTRE DAME,"REBOUND (OFF) by Williams, Troy",47,17,,1,25,9
INDIANA,NOTRE DAME,"MISSED FT SHOT by Williams, Troy",44,17,FOUL by Steve Vasturia (P1T1),1,25,9
