home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
NOTRE DAME,LOYOLA CHICAGO,GOOD! 3 PTR by V.J. Beachem,33,3,,1,0,19
NOTRE DAME,LOYOLA CHICAGO,ASSIST by Demetrius Jackson,33,3,,1,0,19
NOTRE DAME,LOYOLA CHICAGO,,20,3,GOOD! 3 PTR by Milton Doyle,1,3,19
NOTRE DAME,LOYOLA CHICAGO,,56,3,FOUL by Ben Richardson (P1T1),1,3,18
NOTRE DAME,LOYOLA CHICAGO,MISSED 3 PTR by V.J. Beachem,39,3,REBOUND (DEF) by Maurice Kirby,1,3,18
NOTRE DAME,LOYOLA CHICAGO,REBOUND (DEF) by Demetrius Jackson,26,3,MISSED LAYUP by Milton Doyle,1,3,18
NOTRE DAME,LOYOLA CHICAGO,GOOD! LAYUP by Zach Auguste [PNT],7,5,,1,3,18
NOTRE DAME,LOYOLA CHICAGO,,4,5,SUB IN : Jeff White,1,3,18
NOTRE DAME,LOYOLA CHICAGO,,4,5,SUB OUT: Milton Doyle,1,3,18
NOTRE DAME,LOYOLA CHICAGO,BLOCK by Steve Vasturia,53,5,MISSED LAYUP by Earl Peterson,1,3,17
NOTRE DAME,LOYOLA CHICAGO,,53,5,REBOUND (OFF) by (TEAM),1,3,17
NOTRE DAME,LOYOLA CHICAGO,REBOUND (DEF) by Zach Auguste,48,5,MISSED JUMPER by Jeff White,1,3,17
NOTRE DAME,LOYOLA CHICAGO,GOOD! FT SHOT by Bonzie Colson,22,6,FOUL by Devon Turk (P1T2),1,3,17
NOTRE DAME,LOYOLA CHICAGO,GOOD! FT SHOT by Bonzie Colson,22,7,,1,3,17
NOTRE DAME,LOYOLA CHICAGO,,22,7,SUB IN : Donte Ingram,1,3,17
NOTRE DAME,LOYOLA CHICAGO,,22,7,SUB IN : Julius Rajala,1,3,17
NOTRE DAME,LOYOLA CHICAGO,,22,7,SUB OUT: Maurice Kirby,1,3,17
NOTRE DAME,LOYOLA CHICAGO,,22,7,SUB OUT: Ben Richardson,1,3,17
NOTRE DAME,LOYOLA CHICAGO,,10,7,GOOD! 3 PTR by Devon Turk,1,6,17
NOTRE DAME,LOYOLA CHICAGO,,10,7,ASSIST by Julius Rajala,1,6,17
NOTRE DAME,LOYOLA CHICAGO,GOOD! FT SHOT by Bonzie Colson,41,8,FOUL by Donte Ingram (P1T3),1,6,16
NOTRE DAME,LOYOLA CHICAGO,GOOD! FT SHOT by Bonzie Colson,41,9,,1,6,16
NOTRE DAME,LOYOLA CHICAGO,,41,9,SUB IN : Milton Doyle,1,6,16
NOTRE DAME,LOYOLA CHICAGO,,41,9,SUB OUT: Jeff White,1,6,16
NOTRE DAME,LOYOLA CHICAGO,,17,9,MISSED 3 PTR by Donte Ingram,1,6,16
NOTRE DAME,LOYOLA CHICAGO,,17,9,REBOUND (OFF) by Julius Rajala,1,6,16
NOTRE DAME,LOYOLA CHICAGO,,2,9,GOOD! JUMPER by Devon Turk,1,8,16
NOTRE DAME,LOYOLA CHICAGO,GOOD! LAYUP by Zach Auguste [PNT],38,11,,1,8,15
NOTRE DAME,LOYOLA CHICAGO,REBOUND (DEF) by Bonzie Colson,16,11,MISSED JUMPER by Earl Peterson,1,8,15
NOTRE DAME,LOYOLA CHICAGO,MISSED 3 PTR by Steve Vasturia,59,11,REBOUND (DEF) by Milton Doyle,1,8,14
