home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
DUKE,NOTRE DAME,GOOD! 3 PTR by Grayson Allen,44,3,,1,0,19
DUKE,NOTRE DAME,ASSIST by Marshall Plumlee,44,3,,1,0,19
DUKE,NOTRE DAME,REBOUND (DEF) by Luke Kennard,16,3,MISSED 3 PTR by Matt Ryan,1,0,19
DUKE,NOTRE DAME,GOOD! 3 PTR by Luke Kennard,5,6,,1,0,19
DUKE,NOTRE DAME,ASSIST by Brandon Ingram,5,6,,1,0,19
DUKE,NOTRE DAME,,33,6,TURNOVR by Demetrius Jackson,1,0,18
DUKE,NOTRE DAME,STEAL by Marshall Plumlee,32,6,,1,0,18
DUKE,NOTRE DAME,GOOD! JUMPER by Luke Kennard,9,8,,1,0,18
DUKE,NOTRE DAME,,47,8,GOOD! LAYUP by Demetrius Jackson [PNT],1,2,17
DUKE,NOTRE DAME,MISSED JUMPER by Grayson Allen,28,8,REBOUND (DEF) by Zach Auguste,1,2,17
DUKE,NOTRE DAME,REBOUND (DEF) by Luke Kennard,16,8,MISSED LAYUP by Zach Auguste,1,2,17
DUKE,NOTRE DAME,TURNOVR by Luke Kennard,12,8,,1,2,17
DUKE,NOTRE DAME,,11,8,STEAL by Matt Ryan,1,2,17
DUKE,NOTRE DAME,,10,8,TURNOVR by Matt Ryan,1,2,17
DUKE,NOTRE DAME,,10,8,FOUL by Matt Ryan (P1T1),1,2,17
DUKE,NOTRE DAME,MISSED JUMPER by Luke Kennard,58,8,REBOUND (DEF) by Steve Vasturia,1,2,16
DUKE,NOTRE DAME,,29,8,GOOD! LAYUP by Zach Auguste [PNT],1,4,16
DUKE,NOTRE DAME,,29,8,ASSIST by Demetrius Jackson,1,4,16
DUKE,NOTRE DAME,FOUL by Luke Kennard (P1T1),29,8,MISSED FT SHOT by Zach Auguste,1,4,16
DUKE,NOTRE DAME,REBOUND (DEF) by Brandon Ingram,29,8,,1,4,16
DUKE,NOTRE DAME,,17,8,FOUL by V.J. Beachem (P1T2),1,4,16
DUKE,NOTRE DAME,TURNOVR by Matt Jones,2,8,STEAL by Matt Ryan,1,4,16
DUKE,NOTRE DAME,REBOUND (DEF) by Marshall Plumlee,56,8,MISSED LAYUP by Zach Auguste,1,4,15
DUKE,NOTRE DAME,GOOD! LAYUP by Brandon Ingram [PNT],44,10,,1,4,15
DUKE,NOTRE DAME,,44,10,FOUL by V.J. Beachem (P2T3),1,4,15
DUKE,NOTRE DAME,TIMEOUT MEDIA,44,10,,1,4,15
DUKE,NOTRE DAME,GOOD! FT SHOT by Brandon Ingram,44,11,,1,4,15
DUKE,NOTRE DAME,,44,11,SUB IN : Bonzie Colson,1,4,15
DUKE,NOTRE DAME,,44,11,SUB OUT: V.J. Beachem,1,4,15
DUKE,NOTRE DAME,,33,11,MISSED LAYUP by Bonzie Colson,1,4,15
DUKE,NOTRE DAME,,33,11,REBOUND (OFF) by Bonzie Colson,1,4,15
