home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
NOTRE DAME,UMASS LOWELL,MISSED LAYUP by Zach Auguste,39,0,,1,0,19
NOTRE DAME,UMASS LOWELL,REBOUND (OFF) by Zach Auguste,39,0,,1,0,19
NOTRE DAME,UMASS LOWELL,GOOD! FT SHOT by Zach Auguste,38,1,FOUL by Ryan Jones (P1T1),1,0,19
NOTRE DAME,UMASS LOWELL,GOOD! FT SHOT by Zach Auguste,38,2,,1,0,19
NOTRE DAME,UMASS LOWELL,BLOCK by Bonzie Colson,17,2,MISSED LAYUP by Ryan Jones,1,0,19
NOTRE DAME,UMASS LOWELL,REBOUND (DEF) by Bonzie Colson,15,2,,1,0,19
NOTRE DAME,UMASS LOWELL,,5,2,FOUL by Josh Gantz (P1T2),1,0,19
NOTRE DAME,UMASS LOWELL,MISSED 3 PTR by Steve Vasturia,46,2,,1,0,18
NOTRE DAME,UMASS LOWELL,REBOUND (OFF) by Bonzie Colson,46,2,,1,0,18
NOTRE DAME,UMASS LOWELL,TURNOVR by Bonzie Colson,40,2,,1,0,18
NOTRE DAME,UMASS LOWELL,,39,2,STEAL by Ryan Jones,1,0,18
NOTRE DAME,UMASS LOWELL,REBOUND (DEF) by Steve Vasturia,31,2,MISSED 3 PTR by Keith Hayes II,1,0,18
NOTRE DAME,UMASS LOWELL,GOOD! JUMPER by Zach Auguste [PNT],10,4,,1,0,18
NOTRE DAME,UMASS LOWELL,REBOUND (DEF) by V.J. Beachem,55,4,MISSED JUMPER by Jahad Thomas,1,0,17
NOTRE DAME,UMASS LOWELL,MISSED 3 PTR by V.J. Beachem,31,4,REBOUND (DEF) by Matt Harris,1,0,17
NOTRE DAME,UMASS LOWELL,REBOUND (DEF) by Zach Auguste,0,4,MISSED 3 PTR by Jahad Thomas,1,0,17
NOTRE DAME,UMASS LOWELL,GOOD! 3 PTR by Demetrius Jackson,52,7,,1,0,16
NOTRE DAME,UMASS LOWELL,,34,7,GOOD! JUMPER by Jahad Thomas [PNT],1,2,16
NOTRE DAME,UMASS LOWELL,TURNOVR by V.J. Beachem,19,7,,1,2,16
NOTRE DAME,UMASS LOWELL,,18,7,STEAL by Matt Harris,1,2,16
NOTRE DAME,UMASS LOWELL,,15,7,MISSED LAYUP by Matt Harris,1,2,16
NOTRE DAME,UMASS LOWELL,,15,7,REBOUND (OFF) by Keith Hayes II,1,2,16
NOTRE DAME,UMASS LOWELL,REBOUND (DEF) by Bonzie Colson,12,7,MISSED JUMPER by Keith Hayes II,1,2,16
NOTRE DAME,UMASS LOWELL,GOOD! 3 PTR by Steve Vasturia,4,10,,1,2,16
NOTRE DAME,UMASS LOWELL,ASSIST by Demetrius Jackson,4,10,,1,2,16
NOTRE DAME,UMASS LOWELL,,40,10,GOOD! 3 PTR by Ryan Jones,1,5,15
NOTRE DAME,UMASS LOWELL,,40,10,ASSIST by Keith Hayes II,1,5,15
NOTRE DAME,UMASS LOWELL,TURNOVR by Steve Vasturia,6,10,STEAL by Ryan Jones,1,5,15
NOTRE DAME,UMASS LOWELL,REBOUND (DEF) by Bonzie Colson,1,10,MISSED LAYUP by Ryan Jones,1,5,15
NOTRE DAME,UMASS LOWELL,GOOD! DUNK by Zach Auguste [PNT],54,12,,1,5,14
NOTRE DAME,UMASS LOWELL,ASSIST by Demetrius Jackson,54,12,,1,5,14
NOTRE DAME,UMASS LOWELL,REBOUND (DEF) by V.J. Beachem,30,12,MISSED JUMPER by Ryan Jones,1,5,14
NOTRE DAME,UMASS LOWELL,MISSED 3 PTR by Bonzie Colson,8,12,,1,5,14
NOTRE DAME,UMASS LOWELL,REBOUND (OFF) by Zach Auguste,8,12,,1,5,14
NOTRE DAME,UMASS LOWELL,TIMEOUT MEDIA,51,12,,1,5,13
NOTRE DAME,UMASS LOWELL,SUB IN : Matt Farrell,51,12,SUB IN : Isaac White,1,5,13
NOTRE DAME,UMASS LOWELL,SUB IN : Matt Ryan,51,12,SUB OUT: Ryan Jones,1,5,13
NOTRE DAME,UMASS LOWELL,SUB OUT: Bonzie Colson,51,12,,1,5,13
NOTRE DAME,UMASS LOWELL,SUB OUT: V.J. Beachem,51,12,,1,5,13
NOTRE DAME,UMASS LOWELL,GOOD! LAYUP by Zach Auguste [PNT],41,14,,1,5,13
NOTRE DAME,UMASS LOWELL,,25,14,GOOD! 3 PTR by Matt Harris,1,8,13
NOTRE DAME,UMASS LOWELL,GOOD! JUMPER by Demetrius Jackson,1,16,,1,8,13
NOTRE DAME,UMASS LOWELL,REBOUND (DEF) by Matt Ryan,46,16,MISSED JUMPER by Isaac White,1,8,12
NOTRE DAME,UMASS LOWELL,MISSED JUMPER by Zach Auguste,28,16,REBOUND (DEF) by Josh Gantz,1,8,12
NOTRE DAME,UMASS LOWELL,REBOUND (DEF) by Steve Vasturia,17,16,MISSED 3 PTR by Josh Gantz,1,8,12
NOTRE DAME,UMASS LOWELL,GOOD! LAYUP by Demetrius Jackson [PNT],6,18,,1,8,12
NOTRE DAME,UMASS LOWELL,MISSED FT SHOT by Demetrius Jackson,6,18,FOUL by Isaac White (P1T3),1,8,12
NOTRE DAME,UMASS LOWELL,,6,18,REBOUND (DEF) by Mark Cornelius,1,8,12
NOTRE DAME,UMASS LOWELL,SUB IN : Bonzie Colson,6,18,SUB IN : Dontavious Smith,1,8,12
