home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
NOTRE DAME,MILWAUKEE,GOOD! FT SHOT by Steve Vasturia,44,1,FOUL by J.J. Panoske (P1T1),1,0,19
NOTRE DAME,MILWAUKEE,GOOD! FT SHOT by Steve Vasturia,44,2,,1,0,19
NOTRE DAME,MILWAUKEE,,30,2,TURNOVR by J.J. Panoske,1,0,19
NOTRE DAME,MILWAUKEE,STEAL by Zach Auguste,28,2,,1,0,19
NOTRE DAME,MILWAUKEE,MISSED 3 PTR by Demetrius Jackson,24,2,REBOUND (DEF) by (TEAM),1,0,19
NOTRE DAME,MILWAUKEE,REBOUND (DEF) by V.J. Beachem,7,2,MISSED JUMPER by J.J. Panoske,1,0,19
NOTRE DAME,MILWAUKEE,GOOD! JUMPER by Zach Auguste [PNT],51,4,,1,0,18
NOTRE DAME,MILWAUKEE,,26,4,MISSED LAYUP by Jordan Johnson,1,0,18
NOTRE DAME,MILWAUKEE,,26,4,REBOUND (OFF) by J.J. Panoske,1,0,18
NOTRE DAME,MILWAUKEE,REBOUND (DEF) by Zach Auguste,15,4,MISSED 3 PTR by Jordan Johnson,1,0,18
NOTRE DAME,MILWAUKEE,MISSED JUMPER by Steve Vasturia,53,4,REBOUND (DEF) by Matt Tiby,1,0,17
NOTRE DAME,MILWAUKEE,,35,4,GOOD! LAYUP by Akeem Springs [PNT],1,2,17
NOTRE DAME,MILWAUKEE,,35,4,ASSIST by Matt Tiby,1,2,17
NOTRE DAME,MILWAUKEE,FOUL by Zach Auguste (P1T1),35,4,GOOD! FT SHOT by Akeem Springs,1,3,17
NOTRE DAME,MILWAUKEE,,20,4,SUB IN : Cody Wichmann,1,3,17
NOTRE DAME,MILWAUKEE,,20,4,SUB OUT: J.J. Panoske,1,3,17
NOTRE DAME,MILWAUKEE,GOOD! LAYUP by Demetrius Jackson [PNT],19,6,,1,3,17
NOTRE DAME,MILWAUKEE,ASSIST by Steve Vasturia,19,6,,1,3,17
NOTRE DAME,MILWAUKEE,,54,6,GOOD! LAYUP by Jordan Johnson [PNT],1,5,16
NOTRE DAME,MILWAUKEE,,33,6,FOUL by Jordan Johnson (P1T2),1,5,16
NOTRE DAME,MILWAUKEE,,33,6,SUB IN : Justin Jordan,1,5,16
NOTRE DAME,MILWAUKEE,,33,6,SUB OUT: Jordan Johnson,1,5,16
NOTRE DAME,MILWAUKEE,TURNOVR by Steve Vasturia,12,6,,1,5,16
NOTRE DAME,MILWAUKEE,,59,6,GOOD! 3 PTR by Cody Wichmann,1,8,15
NOTRE DAME,MILWAUKEE,,59,6,ASSIST by Justin Jordan,1,8,15
NOTRE DAME,MILWAUKEE,TURNOVR by Zach Auguste,35,6,,1,8,15
NOTRE DAME,MILWAUKEE,,35,6,TIMEOUT MEDIA,1,8,15
NOTRE DAME,MILWAUKEE,SUB IN : Matt Farrell,25,6,,1,8,15
NOTRE DAME,MILWAUKEE,SUB OUT: Bonzie Colson,25,6,,1,8,15
NOTRE DAME,MILWAUKEE,REBOUND (DEF) by V.J. Beachem,15,6,MISSED JUMPER by Matt Tiby,1,8,15
NOTRE DAME,MILWAUKEE,GOOD! LAYUP by Demetrius Jackson [PNT],58,8,,1,8,14
NOTRE DAME,MILWAUKEE,ASSIST by Steve Vasturia,58,8,,1,8,14
NOTRE DAME,MILWAUKEE,REBOUND (DEF) by V.J. Beachem,42,8,MISSED JUMPER by Matt Tiby,1,8,14
NOTRE DAME,MILWAUKEE,MISSED JUMPER by Matt Farrell,35,8,REBOUND (DEF) by Akeem Springs,1,8,14
NOTRE DAME,MILWAUKEE,,17,8,GOOD! 3 PTR by Austin Arians,1,11,14
NOTRE DAME,MILWAUKEE,,17,8,ASSIST by Matt Tiby,1,11,14
